Global Rank,Stars,Username,Country,Country Rank,Rating,Highest Rating,Fully Solved,Partially Solved,Last Contest,Institute
151,6,odule,Serbia,10,2497,2497,755,65,20190213 150000,Gimnazija Veljko Petrovic SomborSerbia Sombor Serbia
153,6,toloraia,Georgia,10,2496,2530,70,11,20200824 001500,V Komarovi N199 Public School
153,6,retrograd,Romania,30,2496,2496,60,3,20160915 150000,University of BucharestRomania
155,6,robezh765,China,260,2494,2494,47,1,20200720 000000,University of WisconsinMadison
155,6,xllend3,China,260,2494,2853,142,2,20150413 150000,Tsinghua University
157,6,peltorator,Russia,140,2492,2496,40,8,20190520 000000,Saint Petersburg State University
157,6,pedy4000,Iran,30,2492,2492,77,6,20200226 000000,Atomic Energy High School
160,6,markysha,Belarus,40,2488,2488,59,6,20180219 000000,Vitebsk Gymnasium No 8
161,6,abhikalpu123,India,240,2487,2487,96,1,20200713 150000,Indian Institute of Technology Roorkee
161,6,rainboy,United States,120,2487,2487,135,29,20200615 150000,Home
163,6,figfig,Brazil,30,2485,2485,55,3,20190513 150000,
163,6,taran1407,India,250,2485,2522,790,83,20200829 223000,Satish Chander Dhawan Government College
165,6,mister,Singapore,10,2480,2624,110,4,20200525 000000,Google
166,6,afaxnraner,Austria,10,2479,2479,161,24,20200817 150000,Vienna University of Technology
166,6,motarack,Jordan,10,2479,2582,134,4,20200817 150000,Princess Sumaya University for Technology
168,6,edenooo,South Korea,10,2478,2478,45,7,20200829 223000,Soongsil UniverSity
170,6,yutaka1999,Japan,70,2477,2649,110,9,20170612 150000,Kaisei Junior High School and Senior High SchoolJapan
170,6,ashishgup,India,260,2477,2477,458,35,20200323 000000,Birla Institute of Technology  Science PilaniHyderabad Campus
172,6,rishabhdevil,India,270,2476,2476,94,16,20200720 000000,Indian Institute of Technology Kanpur
172,6,endagorion,Russia,150,2476,2476,76,2,20200817 150000,Moscow Institute of Physics and Technology
172,6,ania7,Poland,20,2476,2476,116,12,20190617 150000,Polish Academy of Sciences
175,6,mipletsplay,Russia,160,2475,2475,135,18,20200829 223000,School No 1589
175,6,andrei1998,Romania,40,2475,2503,138,4,20171211 150000,International Computer HighSchool of Bucharest
177,6,wmoise,United States,130,2474,2676,110,11,20200316 150000,mParticle
178,6,jiry2,China,280,2472,2472,152,2,20150518 150000,Peking University
178,6,mathalex,Russia,170,2472,2472,30,0,20200421 000000,School
180,6,danceoffaith,China,290,2471,2471,44,2,20190513 150000,Hangzhou Xuejun High School
180,6,yogahmad27,Indonesia,20,2471,2471,60,12,20200829 223000,SMA Taruna Nusantara
180,6,mnbvmar,Poland,30,2471,2471,44,0,20190520 000000,University of Warsaw
183,6,raveman,Switzerland,20,2470,2699,208,0,20200824 001500,Google
184,6,bigmuzzy,Russia,180,2469,2520,294,17,20200817 150000,
185,6,torimal,Japan,80,2468,2468,175,11,20151214 150000,Osaka University
186,6,tonynater,United States,140,2467,2467,168,4,20160111 150000,Massachusetts Institute of Technology
187,6,n00blearning,India,280,2466,2466,56,6,20181112 150000,
188,6,aniketsanghi,India,290,2462,2462,88,8,20200413 173000,Indian Institute of Technology Kanpur
189,6,sugim48,Japan,90,2461,2595,162,7,20171230 223000,University of Tokyo
189,6,stonefeang,Poland,40,2461,2590,163,5,20200713 150000,University of Warsaw
189,6,jakenu0x5e,Japan,90,2461,2604,83,14,20191014 150000,
192,6,flowerofsorrow,South Korea,20,2459,2459,59,6,20200829 223000,Soongsil UniverSity
192,6,shubham12,India,300,2459,2487,137,13,20200824 001500,Indian Institute of Technology Bombay
194,6,rqgao2014,China,300,2457,2457,100,5,20180417 150000,Nanjing Foreign Language SchoolJiangsu
195,6,mgch,Ukraine,50,2456,2575,287,2,20180212 150000,Taras Shevchenko National University of Kyiv
195,6,fullpower,China,310,2456,2456,81,1,20150329 140000,Hangzhou Xuejun High School
197,6,arunnsit,India,310,2454,2454,434,30,20180115 150000,Netaji Subhas University Of Technology
198,6,peacemaro,India,320,2453,2453,90,9,20191015 180000,Indian Institute of Technology Kharagpur
199,6,deadred,Macedonia,10,2452,2452,44,10,20200615 150000,Yahya Kemal CollegeSkopje
199,6,phben,Hong Kong SAR,10,2452,2452,101,9,20190617 150000,Cornell University
199,6,arpa,Iran,40,2452,2452,229,16,20200824 001500,Amirkabir University of Technology
199,6,codenote,India,330,2452,2457,488,22,20160411 170000,Google
199,6,vodkainthejar,Bulgaria,10,2452,2543,57,5,20200829 223000,First Private Mathematical Gymnasium
204,6,mamedov,Azerbaijan,10,2451,2451,52,6,20171113 190000,Baku Engineering University
204,6,andersk,United States,150,2451,2451,40,0,20190715 150000,
206,6,kfdong,China,320,2450,2450,140,5,20160516 150000,Fuzhou No1 High School
207,6,saboon,Hungary,20,2446,2452,96,4,20200229 223000,Budapest University of Technology and Economics
207,6,xam,Peru,20,2446,2446,125,7,20200511 150000,Universidad Nacional de Ingenier
209,6,nishant403,India,340,2445,2445,278,31,20200829 223000,Dhirubhai Ambani Institute of Information and Communication TechnologyGandhinagar
209,6,nikasvanidze,Georgia,20,2445,2469,189,13,20160227 223000,International Black Sea University
211,6,agent46,India,350,2444,2444,80,4,20200425 224000,Indian Institute of Technology BHU
211,6,kevin00036,Taiwan,40,2444,2459,73,2,20160516 150000,National Taiwan University
213,6,qwerqwerqwer,United States,160,2443,2443,25,1,20200427 233000,Nowhere
214,6,beet,Japan,110,2441,2441,44,3,20200229 223000,University of Aizu
214,6,praran26,India,360,2441,2441,411,51,20180929 223000,Indian Institute of Technology BHU
214,6,sfiction,China,330,2441,2441,129,1,20171211 150000,Zhejiang University
217,6,dukkha,United States,170,2439,2620,368,6,20200615 150000,Home
217,6,sakethare,United States,170,2439,2439,40,2,20190819 000000,Cornell University
219,6,cescfolch,Spain,10,2437,2437,40,1,20200316 150000,Universitat Polit
219,6,regex0754,India,370,2437,2437,186,46,20200817 150000,National Institute of TechnologyDurgapur
221,6,mappinator,Japan,120,2436,2436,55,2,20150713 150000,Waseda UniversityJapan
221,6,rzepa,Poland,50,2436,2436,55,10,20190218 000000,University of Wroc
221,6,davidg,Cuba,10,2436,2436,68,18,20200525 000000,University of Havana
221,6,shadowatyy,Poland,50,2436,2439,51,6,20171125 223000,University of Warsaw
225,6,stzgd,China,340,2434,2453,155,0,20131216 150000,Google
227,6,supersripro,India,380,2433,2433,381,31,20200817 150000,National Institute of Technology Tiruchirappalli
227,6,worldwided,China,350,2433,2474,81,6,20191014 150000,Peking University
227,6,jtjl,China,350,2433,2596,246,17,20190114 150000,Suimei University of the Arts
230,6,gomelfk,Belarus,50,2430,2445,119,9,20171113 190000,Belarusian State University
230,6,sokian,Russia,190,2430,2605,610,20,20200615 150000,Moscow Institute of Physics and Technology
230,6,kazuma,Japan,130,2430,2430,64,4,20190520 000000,Kyoto University
233,6,lolololololol,India,390,2428,2428,117,8,20190417 000000,Indian Institute of Technology Kharagpur
233,6,sjshohag,Bangladesh,20,2428,2526,226,16,20200829 223000,Shahjalal University of Science  Technology
233,6,sadhwaniyash6,India,390,2428,2500,280,9,20160919 000000,Microsoft
236,6,yenthanh132,Vietnam,20,2427,2523,332,5,20161219 000000,Ho Chi Minh City University of Science
236,6,rowdark,China,370,2427,2427,50,0,20160111 150000,Shanghai Jiao Tong University
236,6,vegann,Belarus,60,2427,2467,59,6,20200817 150000,Gymnasium 51
239,6,nikitosh,Russia,200,2426,2540,114,7,20150921 000000,Saint Petersburg Academic University
239,6,zeulb,Indonesia,30,2426,2426,171,4,20141117 150000,National University of Singapore
241,6,cyani,China,380,2424,2424,44,4,20190513 150000,Hangzhou Xuejun High School
241,6,dhirajfx3,India,410,2424,2434,368,53,20190114 150000,Indian Institute of Technology BHU
243,6,bobafett,India,420,2423,2423,127,5,20200511 150000,Indian Institute of Technology Bombay
243,6,notimesea,Russia,210,2423,2677,525,7,20200113 150000,Moscow Institute of Physics and Technology
243,6,kokil87,India,420,2423,2423,200,27,20200824 001500,Indian Institute of Technology Roorkee
243,6,kefaa,Belarus,70,2423,2619,103,10,20180122 000000,Belarusian State University
243,6,shef,Ukraine,60,2423,2517,78,0,20200421 000000,LNU
248,6,bhavyjain,India,440,2422,2422,252,25,20200413 173000,Indian Institute of Technology BHU
248,6,nightmare05,India,440,2422,2422,136,4,20200125 223000,Indian Institute of Technology Patna
250,6,izban,Russia,220,2420,2425,55,1,20150817 150000,Saint Petersburg National Research University of Information TechnologiesMechanics and Optics
250,6,c16,India,460,2420,2420,445,26,20200323 000000,Indraprastha Institute of Information TechnologyDelhi
252,6,kostyaby,Belarus,80,2419,2553,203,2,20170619 003000,Belarusian State University
253,6,adkroxx,India,470,2418,2658,275,18,20190617 150000,Indian Institute of Technology Roorkee
253,6,kazinayeem,Bangladesh,30,2418,2418,72,13,20171023 000000,
256,6,kamranmaharov,Azerbaijan,20,2416,2416,222,5,20200217 150000,Financial Services
256,6,sdssudhu,India,480,2416,2457,543,76,20200615 150000,Google
260,6,pwild,Germany,50,2415,2541,153,14,20200413 173000,University of ErlangenNuremberg
261,6,forest,Belarus,90,2414,2414,116,2,20180521 000000,Amazon
261,6,niakthewizard,France,20,2414,2414,86,12,20171211 150000,On a dark desert highway
261,6,schtomi97,Hungary,30,2414,2414,95,9,20190325 000000,E
261,6,spar5h,India,490,2414,2414,189,21,20200217 150000,
265,6,c38,India,500,2413,2413,41,3,20171211 150000,Indian Institute of Technology Bombay
266,6,deva2802,India,510,2412,2412,239,22,20190121 000000,Indian Institute of Technology Roorkee
266,6,meooow,India,510,2412,2426,483,55,20190114 150000,Kalyani Government Engineering College
268,6,mohammed200218,Egypt,10,2411,2548,96,20,20200125 223000,Riada Language School
268,6,savacska,Russia,230,2411,2546,77,2,20200720 000000,Saint Petersburg State University
268,6,nyaan,Japan,140,2411,2656,64,4,20200725 223000,The University of Tokyo
268,6,nonetp,Thailand,10,2411,2411,37,5,20200226 000000,
273,6,adalbert,Ukraine,70,2410,2434,85,11,20181124 223000,Uzhhorod Gymnasium
273,6,farbody,Canada,60,2410,2410,44,3,20180417 150000,University of Waterloo
273,6,krabhinav,India,530,2410,2410,254,25,20180924 000000,Indian Institute of Technology Indore
273,6,visanr,Romania,50,2410,2410,123,4,20151221 000000,Universitatea Politehnica din Bucuresti
278,6,zcwwzdjn,United States,190,2409,2409,76,0,20191111 150000,Carnegie Mellon University
279,6,philipsweng,China,390,2408,2507,135,4,20170417 150000,Tsinghua University
280,6,tomasf,Brazil,40,2407,2407,75,5,20170911 150000,Microsoft
281,6,xuanyi,China,400,2406,2406,45,2,20200817 150000,Hangzhou No2 High SchoolZhejiang
282,6,ushsh,Japan,150,2404,2538,339,5,20150615 150000,Japan
282,6,yancouto,Brazil,50,2404,2407,116,4,20180319 000000,Universidade de S
284,6,flashmt,Vietnam,30,2403,2420,375,3,20180521 000000,Anduin Transactions
285,6,vsp4,India,540,2400,2431,498,34,20190218 000000,University School of InformationCommunication and Technology
285,6,mananmaster,India,540,2400,2400,89,7,20200720 000000,Indian Institute of Technology Guwahati
285,6,lodb1380,Iran,50,2400,2417,60,6,20200229 223000,Atomic Energy High School
288,6,mustafa1sms23,India,560,2399,2425,203,31,20170313 150000,Google
289,6,theabd1234,India,570,2398,2398,438,18,20190812 150000,Institute of Engineering and TechnologyDevi Ahilya Vishwavidyalaya
289,6,antonlunyov,Ukraine,80,2398,2569,424,0,20140714 150000,Facebook
289,6,avolchek,Belarus,100,2398,2620,256,1,20160822 000000,Belarusian State University of Informatics and Radioelectronics
289,6,adhyyan1252,India,570,2398,2398,338,46,20200817 150000,University of Southern California
295,6,satyaki3794,India,590,2396,2456,508,20,20171023 000000,Google
295,6,aniket9465,India,590,2396,2396,418,52,20200716 001500,Indian Institute of Technology Roorkee
297,6,palayutm,China,410,2395,2539,56,0,20190916 150000,Dalian University of Technology
297,6,zcc598066456,China,410,2395,2541,162,1,20150112 150000,Zhenhai High SchoolChina
297,6,ll931110,United States,200,2395,2395,110,0,20190417 000000,Facebook
300,6,theeagle,India,610,2394,2402,146,7,20200824 001500,Indian Institute of Technology Kharagpur
301,6,mayukuner,China,430,2393,2393,64,3,20160713 150000,Harbin Institute of Technology
301,6,kirikacomp,Japan,160,2393,2499,49,8,20180417 150000,Noir
304,6,yfzcsc,China,440,2392,2471,54,0,20190617 150000,Chengdu No7 High School
304,6,lexuanan,Vietnam,40,2392,2392,40,3,20180122 000000,
306,6,vax3,Poland,70,2391,2391,29,3,20200627 223000,University of Warsaw
306,6,rtshah,India,620,2391,2408,170,26,20170911 150000,Birla Institute of Technology  Science PilaniGoa Campus
308,6,potoooooooo,Japan,170,2390,2440,40,2,20200627 223000,
308,6,abhirup17,India,630,2390,2390,208,39,20190812 150000,HP India Software Operations
308,6,xiper,China,450,2390,2390,95,3,20180312 150000,University of Electronic Science and Technology of China
308,6,heartblue,China,450,2390,2487,1085,3,20200716 001500,Chongqing University
308,6,vamsikrishna3,India,630,2390,2390,223,13,20200615 150000,Indian Institute of Technology Bombay
314,6,thanglong,Vietnam,50,2388,2388,69,9,20190617 150000,High School for Gifted StudentsHanoi University of Science
314,6,mrho888,Hong Kong SAR,20,2388,2388,170,17,20200226 000000,The Chinese University of Hong Kong
316,6,vladprog,Ukraine,90,2387,2484,336,25,20200829 223000,Ukrainian Physics and Mathematics Lyceum
317,6,balajiganapath,India,650,2386,2560,566,12,20170821 000000,Uber Technologies Inc
317,6,tangentday,Japan,180,2386,2386,63,10,20180526 223000,Recruit Communications CoLtd
317,6,xorfire,India,650,2386,2494,235,3,20200218 160000,Chennai Mathematical Institute
317,6,azneye,Canada,70,2386,2485,970,27,20161219 000000,University of Waterloo
322,6,mrkerim,Turkmenistan,10,2385,2437,317,61,20200829 223000,Innopolis University
323,6,matar,India,670,2384,2384,51,8,20200413 173000,Indian Institute of Technology Guwahati
323,6,atetubou,Japan,190,2384,2625,288,4,20160215 150000,The University of Tokyo
323,6,doltferns,India,670,2384,2384,168,14,20200615 150000,International Institute of Information TechnologyHyderabad
323,6,nanoalpaca,Germany,60,2384,2384,46,7,20170717 150000,Technical University of Berlin
323,6,ankesh18,India,670,2384,2384,357,46,20190325 000000,Indian Institute of Technology Delhi
329,6,rpkooter,Netherlands,10,2383,2383,73,13,20200511 150000,
329,6,pavel,Czech Republic,30,2383,2596,431,41,20171016 150000,Unicorn
331,6,benmirt,United States,210,2382,2382,87,12,20200622 000000,Stevens Institute of TechnologyNew Jersey
331,6,orbaz,United States,210,2382,2449,46,9,20190513 150000,Self
331,6,fleimgruber,Austria,20,2382,2429,370,63,20190513 150000,Ludwig Maximillian Universit
334,6,atomicenergy,United States,230,2381,2518,69,5,20200829 223000,University of Rochester
335,6,weapons19,India,700,2380,2380,68,7,20200720 000000,Delhi Technological University
336,6,radoslav192,Bulgaria,20,2379,2379,72,6,20181020 150000,University of Oxford
336,6,mbrc,India,710,2379,2481,335,29,20190722 000000,Indian Institute of Technology Guwahati
336,6,alexfetisov,United States,240,2379,2379,184,8,20200829 223000,Dropbox
340,6,hemant1729,India,720,2378,2378,157,4,20200716 001500,Indian Institute of Technology Bombay
340,6,allllekssssa,Serbia,20,2378,2512,342,29,20200829 223000,Ra
342,6,dario2994,Italy,10,2377,2377,52,1,20200615 150000,Scuola Normale Superiore di Pisa
342,6,rankalee,Japan,200,2377,2377,82,3,20160713 150000,The University of Tokyo
345,6,dinesh12345,India,730,2376,2376,359,20,20200829 223000,Indian Institute of Technology Roorkee
345,6,laycurse,Japan,210,2376,2582,146,4,20180219 000000,Kyoto University
347,6,knightl,Russia,240,2375,2375,152,0,20200817 150000,Taurida VI Vernadsky National University
348,6,rv619,India,740,2374,2466,56,1,20200413 173000,Heritage Institute of TechnologyKolkata
348,6,lboris,United Kingdom,10,2374,2553,628,97,20200817 150000,GAIN
348,6,tsreaper,China,470,2374,2468,144,14,20190213 150000,Zhejiang University
351,6,vsriram10,India,750,2373,2373,173,13,20200824 001500,Indian Institute of Technology Madras
352,6,megatron10,India,760,2372,2372,89,2,20190812 150000,Indian Institute of TechnologyHyderabad
352,6,pronoobie,India,760,2372,2372,55,4,20200716 001500,Delhi Technological University
354,6,tlatoani,Mexico,20,2371,2494,80,6,20200829 223000,Thomas Jefferson High School for Science and Technology
354,6,rahulg,India,780,2371,2456,448,24,20200720 000000,Google
354,6,mateusz95,Poland,80,2371,2371,71,2,20200427 233000,University of Warsaw
354,6,nims11,India,780,2371,2371,256,7,20160822 000000,University of Waterloo
